Dados horários fornecidos pelo sistema QUALAR/CETESB, reduzidos para a escala diaria.
Estacao Ibirapuera
variavel, unidade, descricao
date, dia, yyyy-mm-dd
MP10, ug/m3, concentração de material particulado inalável
CO, ppm, concentração de monóxido de carbono
O3, ug/m3, concentração de ozônio
NO, ug/m3, concentração de óxido de nitrogênio
NO2, ug/m3, concentração de dióxido de nitrogênio
Dados faltantes são representados por "NaN".
date,MP10,CO,O3,NO,NO2
2005-06-05,NaN,NaN,24.458,NaN,NaN
2005-06-06,NaN,NaN,15.417,NaN,NaN
2005-06-07,NaN,NaN,19.417,NaN,NaN
2005-06-08,NaN,2.000,15.083,NaN,NaN
2005-06-09,NaN,1.043,19.125,NaN,NaN
2005-06-10,68.250,0.958,25.450,NaN,NaN
2005-06-11,46.625,1.209,NaN,NaN,NaN
2005-06-12,44.042,0.938,NaN,NaN,NaN
2005-06-13,43.333,1.222,34.000,NaN,NaN
2005-06-14,42.292,0.975,20.333,NaN,NaN
2005-06-15,53.917,1.523,35.125,NaN,NaN
2005-06-16,45.292,1.329,32.870,NaN,NaN
2005-06-17,60.750,1.709,30.833,NaN,NaN
2005-06-18,48.417,0.946,34.708,NaN,NaN
2005-06-19,24.958,0.435,26.696,NaN,NaN
2005-06-20,22.375,0.800,4.625,NaN,NaN
2005-06-21,9.875,0.396,24.833,NaN,NaN
2005-06-22,16.625,0.417,21.478,NaN,NaN
2005-06-23,29.375,0.752,18.333,NaN,NaN
2005-06-24,55.583,1.458,24.667,NaN,NaN
2005-06-25,34.625,0.743,39.826,NaN,NaN
2005-06-26,31.542,0.663,34.917,NaN,NaN
2005-06-27,44.875,1.561,15.708,NaN,NaN
2005-06-28,42.500,1.433,2.261,NaN,NaN
2005-06-29,27.417,1.496,11.833,NaN,NaN
2005-06-30,35.125,1.550,16.542,NaN,NaN
2005-07-01,34.750,1.083,23.609,NaN,NaN
2005-07-02,42.875,1.346,24.000,NaN,NaN
2005-07-03,34.583,1.130,23.333,NaN,NaN
2005-07-04,35.375,1.133,21.696,NaN,NaN
2005-07-05,29.000,0.817,11.125,NaN,NaN
2005-07-06,8.917,0.350,25.792,NaN,NaN
2005-07-07,12.750,0.339,35.348,NaN,NaN
2005-07-08,13.333,0.413,33.957,NaN,NaN
2005-07-09,16.500,0.378,30.739,NaN,NaN
2005-07-10,21.750,0.717,19.304,NaN,NaN
2005-07-11,32.333,0.939,18.826,NaN,NaN
2005-07-12,41.167,1.300,21.043,NaN,NaN
2005-07-13,28.292,0.709,22.783,NaN,NaN
2005-07-14,32.583,0.765,28.913,NaN,NaN
2005-07-15,41.500,1.070,21.435,NaN,NaN
2005-07-16,42.458,0.583,30.000,NaN,NaN
2005-07-17,36.875,0.370,34.217,NaN,NaN
2005-07-18,26.667,0.500,21.304,NaN,NaN
2005-07-19,20.958,0.357,25.043,NaN,NaN
2005-07-20,17.458,0.474,26.522,NaN,NaN
2005-07-21,26.667,0.604,27.696,NaN,NaN
2005-07-22,51.458,1.717,14.000,NaN,NaN
2005-07-23,48.708,1.448,22.783,NaN,NaN
2005-07-24,32.375,0.587,39.696,NaN,NaN
2005-07-25,17.458,0.657,20.789,NaN,NaN
2005-07-26,27.083,0.661,24.565,NaN,NaN
2005-07-27,31.875,0.761,18.391,NaN,NaN
2005-07-28,40.458,1.778,22.435,NaN,NaN
2005-07-29,56.750,1.870,32.957,NaN,NaN
2005-07-30,42.125,1.143,32.217,NaN,NaN
2005-07-31,52.292,1.557,39.000,NaN,NaN
2005-08-01,58.625,1.965,31.522,NaN,NaN
2005-08-02,45.042,1.004,35.435,NaN,NaN
2005-08-03,60.042,1.391,37.652,NaN,NaN
2005-08-04,52.750,1.252,37.739,NaN,NaN
2005-08-05,58.167,1.339,35.783,NaN,NaN
2005-08-06,57.250,1.222,46.130,NaN,NaN
2005-08-07,62.000,1.330,54.522,NaN,NaN
2005-08-08,24.125,0.439,44.087,NaN,NaN
2005-08-09,22.917,0.704,20.696,NaN,NaN
2005-08-10,15.083,0.383,23.174,NaN,NaN
2005-08-11,21.167,0.713,22.826,NaN,NaN
2005-08-12,32.500,0.713,40.913,NaN,NaN
2005-08-13,40.125,0.570,73.130,NaN,NaN
2005-08-14,47.292,0.722,63.957,NaN,NaN
2005-08-15,49.500,1.222,29.522,NaN,NaN
2005-08-16,56.708,1.265,34.826,NaN,NaN
2005-08-17,50.167,1.117,31.348,NaN,NaN
2005-08-18,47.417,0.765,30.957,NaN,NaN
2005-08-19,28.333,0.496,55.478,NaN,NaN
2005-08-20,41.875,0.570,17.000,NaN,NaN
2005-08-21,40.625,0.470,NaN,NaN,NaN
2005-08-22,44.333,0.752,40.588,NaN,NaN
2005-08-23,59.167,0.822,29.261,NaN,NaN
2005-08-24,45.875,0.604,30.522,NaN,NaN
2005-08-25,23.500,0.465,28.217,NaN,NaN
2005-08-26,27.833,0.561,28.217,NaN,NaN
2005-08-27,34.542,1.161,14.783,NaN,NaN
2005-08-28,46.458,1.648,38.130,NaN,NaN
2005-08-29,50.833,1.061,39.409,NaN,NaN
2005-08-30,75.875,1.026,47.522,NaN,NaN
2005-08-31,62.125,1.174,37.348,NaN,NaN
2005-09-01,30.708,0.739,35.727,NaN,NaN
2005-09-02,21.375,0.804,26.565,NaN,NaN
2005-09-03,29.125,0.787,30.348,NaN,NaN
2005-09-04,32.043,0.500,37.318,NaN,NaN
2005-09-05,24.333,0.852,35.913,NaN,NaN
2005-09-06,19.000,0.604,24.348,NaN,NaN
2005-09-07,15.333,0.483,35.435,NaN,NaN
2005-09-08,19.833,0.483,25.652,NaN,NaN
2005-09-09,26.400,0.120,15.000,NaN,NaN
2005-09-10,NaN,NaN,NaN,NaN,NaN
2005-09-11,NaN,NaN,NaN,NaN,NaN
2005-09-12,NaN,NaN,NaN,NaN,NaN
2005-09-13,NaN,NaN,NaN,NaN,NaN
2005-09-14,NaN,NaN,NaN,NaN,NaN
2005-09-15,51.111,2.400,24.286,24.714,136.429
2005-09-16,31.083,0.930,21.130,35.304,52.348
2005-09-17,10.958,0.370,29.783,2.826,26.913
2005-09-18,14.500,0.478,20.609,3.130,19.478
2005-09-19,20.958,0.578,38.435,9.304,32.043
2005-09-20,13.833,0.309,49.739,2.478,23.043
2005-09-21,12.875,0.361,45.391,3.913,27.435
2005-09-22,22.792,0.552,30.130,9.826,33.783
2005-09-23,31.522,0.386,52.095,5.000,32.435
2005-09-24,35.250,0.352,49.130,2.435,36.000
2005-09-25,37.417,1.160,42.435,5.870,35.304
2005-09-26,12.875,0.194,31.478,3.609,25.478
2005-09-27,15.458,0.209,30.609,4.348,21.391
2005-09-28,18.042,0.187,28.217,4.174,22.391
2005-09-29,22.417,0.248,32.391,7.565,21.913
2005-09-30,35.083,0.671,46.542,23.500,37.958
2005-10-01,39.417,0.696,33.917,20.042,38.458
2005-10-02,22.125,0.454,28.667,2.708,23.958
2005-10-03,28.833,0.508,49.542,14.292,24.458
2005-10-04,36.958,1.217,42.333,55.625,34.833
2005-10-05,31.000,0.792,23.792,19.458,38.958
2005-10-06,18.917,0.496,20.750,12.250,24.333
2005-10-07,28.792,0.588,19.625,15.958,28.167
2005-10-08,32.333,0.642,58.125,11.042,24.375
2005-10-09,24.875,0.354,57.000,2.083,8.708
2005-10-10,17.167,0.263,28.292,6.292,15.958
2005-10-11,30.833,0.465,31.292,9.818,27.909
2005-10-12,53.917,0.961,59.696,20.652,41.870
2005-10-13,55.750,1.413,59.957,42.478,63.652
